AT2G26510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G19875,GO:0006950,GO:0006979,GO:0008150,GO:0050896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT4G37260,GO:0001101,GO:0008150,GO:0009719,GO:0009723,GO:0009725,GO:0009737,GO:0009751,GO:0009753,GO:0010033,GO:0010035,GO:0010038,GO:0010200,GO:0010243,GO:0014070,GO:0033993,GO:0042221,GO:0046686,GO:0050896,GO:0097305,GO:1901698,GO:1901700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3G51895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G16760,GO:0006066,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0010264,GO:0019637,GO:0019751,GO:0032958,GO:0033517,GO:0043647,GO:0044237,GO:0044281,GO:0044283,GO:0044699,GO:0044710,GO:0044711,GO:0044763,GO:0046165,GO:0046173,GO:0071704,GO:0090407,GO:1901576,GO:1901615,GO:1901617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G17050,GO:0008150,GO:0009628,GO:0050896,GO:0080167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G15850,GO:0008150,GO:0009909,GO:0048580,GO:0048831,GO:0050789,GO:0050793,GO:0051239,GO:0065007,GO:2000026,GO:2000241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G15090,GO:0006950,GO:0006952,GO:0008150,GO:0009266,GO:0009409,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009719,GO:0009725,GO:0009735,GO:0010029,GO:0010033,GO:0042221,GO:0042742,GO:0043207,GO:0048580,GO:0050789,GO:0050793,GO:0050896,GO:0051239,GO:0051704,GO:0051707,GO:0065007,GO:0098542,GO:1900140,GO:2000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G14920,GO:0001101,GO:0006950,GO:0006970,GO:0008150,GO:0009628,GO:0009651,GO:0009719,GO:0009725,GO:0009737,GO:0009739,GO:0010033,GO:0019222,GO:0031323,GO:0033993,GO:0042221,GO:0050789,GO:0050794,GO:0050896,GO:0065007,GO:0097305,GO:1901700,GO:2000377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G15450,GO:0006950,GO:0006996,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009657,GO:0009658,GO:0009987,GO:0016043,GO:0050896,GO:0071840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G15580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G14940,GO:0008150,GO:0009605,GO:0009607,GO:0009624,GO:0043207,GO:0050896,GO:0051704,GO:0051707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G14760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT1G48920,GO:0003002,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0007275,GO:0007389,GO:0008150,GO:0008152,GO:0009987,GO:0010051,GO:0010305,GO:0010467,GO:0016070,GO:0016072,GO:0022613,GO:0022622,GO:0032501,GO:0032502,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044707,GO:0044767,GO:0046483,GO:0048364,GO:0048366,GO:0048367,GO:0048731,GO:0048827,GO:0048856,GO:0071704,GO:0071840,GO:0090304,GO:0099402,GO:1901360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G27930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G27380,GO:0001101,GO:0008150,GO:0009719,GO:0009725,GO:0009753,GO:0010033,GO:0042221,GO:0050896,GO:1901700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT5G25900,GO:0001101,GO:0007154,GO:0007165,GO:0008150,GO:0009719,GO:0009725,GO:0009739,GO:0009740,GO:0009755,GO:0009987,GO:0010033,GO:0010476,GO:0023052,GO:0032870,GO:0033993,GO:0042221,GO:0044699,GO:0044700,GO:0044763,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0070887,GO:0071229,GO:0071310,GO:0071370,GO:0071396,GO:0071495,GO:1901700,GO:1901701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
